,<rpm>,<algo_cycles>,<handoff_cycles>
# DWT rows:   D,<at>,<cyccnt>,<cpicnt>,<exccnt>,<sleepcnt>,<lsucnt>,<foldcnt>
# health rows:H,<at>,<temp_mC>,<vref_mV>,<vbat_mV>
D,boot,6498924,193,52,0,210,151
H,boot,211981,27650,0
E,909,1,1000,253,582
E,910,1,1000,253,582
E,911,1,1000,253,582
E,912,1,1000,253,582
E,913,1,1000,253,582
E,914,1,1000,253,582
E,915,1,1000,253,582
E,916,1,1000,253,582
E,917,1,1000,253,582
E,918,1,1000,253,582
E,919,1,1000,253,582
E,920,1,1000,253,582
E,921,1,1000,253,582
E,922,1,1000,253,582
E,923,1,1000,253,582
E,924,1,1000,253,582
E,925,1,1000,253,582
E,926,1,1000,253,582
E,927,1,1000,253,582
E,928,1,1000,253,582
E,929,1,1000,253,582
E,930,1,1000,253,582
E,931,1,1000,253,582
E,932,1,1000,253,582
E,933,1,1000,253,582
E,934,1,1000,253,582
E,935,1,1000,253,582
E,936,1,1000,253,582
E,937,1,1000,253,582
E,938,1,1000,253,582
E,939,1,1000,253,582
E,940,1,1000,253,582
E,941,1,1000,253,582
E,942,1,1000,253,582
E,943,1,1000,253,582
E,944,1,1000,253,582
E,945,1,1000,253,582
E,946,1,1000,253,582
E,947,1,1000,253,582
E,948,1,1000,253,582
E,949,1,1000,253,582
E,950,1,1000,253,582
E,951,1,1000,253,582
E,952,1,1000,253,582
E,953,1,1000,253,582
E,954,1,1000,253,582
E,955,1,1000,253,582
E,956,1,1000,253,582
E,957,1,1000,253,582
E,958,1,1000,253,582
E,959,1,1000,253,582
E,960,1,1000,253,582
E,961,1,1000,253,582
E,962,1,1000,253,582
E,963,1,1000,253,582
E,964,1,1000,253,582
E,965,1,1000,253,582
E,966,1,1000,253,582
E,967,1,1000,253,582
E,968,1,1000,253,582
E,969,1,1000,253,582
E,970,1,1000,253,582
E,971,1,1000,253,582
E,972,1,1000,253,582
E,973,1,1000,253,582
E,974,1,1000,253,582
E,975,1,1000,253,582
E,976,1,1000,253,582
E,977,1,1000,253,582
E,978,1,1000,253,582
E,979,1,1000,253,582
E,980,1,1000,253,582
E,981,1,1000,253,582
E,982,1,1000,253,582
E,983,1,1000,253,582
E,984,1,1000,253,582
E,985,1,1000,253,582
E,986,1,1000,253,582
E,987,1,1000,253,582
E,988,1,1000,253,582
E,989,1,1000,253,582
E,990,1,1000,253,582
E,991,1,1000,253,582
E,992,1,1000,253,582
E,993,1,1000,253,582
E,994,1,1000,253,582
E,995,1,1000,253,582
E,996,1,1000,253,582
E,997,1,1000,253,582
E,998,1,1000,253,582
E,999,1,1000,253,# step 2/13 rpm=1000 period_us=166 ints=500 count=999
D,step_2,325476544,64,92,46,181,211
H,step_2,179249,22418,0
582
E,1000,2,1500,253,582
E,1001,2,1500,253,582
E,1002,2,1500,253,582
E,1003,2,1500,253,582
E,1004,2,1500,253,582
E,1005,2,1500,253,582
E,1006,2,1500,253,582
E,1007,2,1500,253,582
E,1008,2,1500,253,582
E,1009,2,1500,253,582
E,1010,2,1500,253,582
E,1011,2,1500,253,582
E,1012,2,1500,253,582
E,1013,2,1500,253,582
E,1014,2,1500,253,582
E,1015,2,1500,253,582
E,1016,2,1500,253,582
E,1017,2,1500,253,582
E,1018,2,1500,253,582
E,1019,2,1500,253,582
E,1020,2,1500,253,582
E,1021,2,1500,253,582
E,1022,2,1500,253,582
E,1023,2,1500,253,582
E,1024,2,1500,253,582
E,1025,2,1500,253,582
E,1026,2,1500,253,582
E,1027,2,1500,253,582
E,1028,2,1500,253,582
E,1029,2,1500,253,582
E,1030,2,1500,253,582
E,1031,2,1500,253,582
E,1032,2,1500,253,582
E,1033,2,1500,253,582
E,1034,2,1500,253,582
E,1035,2,1500,253,582
E,1036,2,1500,253,582
E,1037,2,1500,253,582
E,1038,2,1500,253,582
E,1039,2,1500,253,582
E,1040,2,1500,253,582
E,1041,2,1500,253,588
E,1042,2,1500,253,582
E,1043,2,1500,253,582
E,1044,2,1500,253,582
E,1045,2,1500,253,582
E,1046,2,1500,253,582
E,1047,2,1500,253,582
E,1048,2,1500,253,582
E,1049,2,1500,253,582
E,1050,2,1500,253,582
E,1051,2,1500,253,582
E,1052,2,1500,253,582
E,1053,2,1500,253,582
E,1054,2,1500,253,582
E,1055,2,1500,253,582
E,1056,2,1500,253,582
E,1057,2,1500,253,582
E,1058,2,1500,253,582
E,1059,2,1500,253,582
E,1060,2,1500,253,582
E,1061,2,1500,253,582
E,1062,2,1500,253,582
E,1063,2,1500,253,582
E,1064,2,1500,253,582
E,1065,2,1500,253,582
E,1066,2,1500,253,582
E,1067,2,1500,253,582
E,1068,2,1500,253,582
E,1069,2,1500,253,582
E,1070,2,1500,253,582
E,1071,2,1500,253,582
E,1072,2,1500,253,582
E,1073,2,1500,253,582
E,1074,2,1500,253,582
E,1075,2,1500,253,582
E,1076,2,1500,253,582
E,1077,2,1500,253,582
E,1078,2,1500,253,582
E,1079,2,1500,253,582
E,1080,2,1500,253,582
E,1081,2,1500,253,582
E,1082,2,1500,253,582
E,1083,2,1500,253,582
